no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
,C(O)=O,[O-])=O,,,,,,,,,,,,,,,,
,CCCC1=C(OCCC[S](=O)(=O)C2=CC=C(C=C2,CCCC1=C(OCCC[S](=O)(=O)C2=CC=C(C=C2)C(=O),,,,,,,,,,,,,,,,
655,,,,,17.44,8.76,0.04,0.29,,,,,1.24,0.94,-1.40,-0.54,,
,)C(=O)CCC(O)=O)C=CC(=C1O)C(C)=O,CCC([O-])=O)C=CC(=C1O)C(C)=O,,,,,,,,,,,,,,,,
,CC(C)(N)CC(=O)N[C@@H]1CCC2=CC=CC=,CC(C)([NH3+])CC(=O)N[C@@H]1CCC2=C(C=CC=,,,,,,,,,,,,,,,,
656,C2N(CC3=CC=C(C=C3)C4=CC=CC=C4C5=N,C2)N(CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NN=N,0.2,0.25,3.05,2.93,3.8,4.96,0.06,0.06,0.70,-0.60,0.48,0.47,0.58,0.70,-1.22,-1.26
,N=N[NH]5)C1=O,[N-]5)C1=O,,,,,,,,,,,,,,,,
,ClC1=CC=CC(=C1)N2CCN(CC2=O)CC3=CN,ClC1=CC(=CC=C1)N2CC[NH+](CC2=O)CC3=CN=C,,,,,,,,,,,,,,,,
657,,,0.8,1.01,3.2,3.63,2.6,3.92,,,0.10,0.00,0.51,0.56,0.41,0.59,,
,=C[N]3CC4=CC=C(C=C4)C#N,[N]3CC4=CC=C(C=C4)C#N,,,,,,,,,,,,,,,,
,CC(CCC1=CC=CC=C1)NCC(O)C2=CC=C(O),C[C@H](CCC1=CC=CC=C1)[NH2+]C[C@@H](O)C2,,,,,,,,,,,,,,,,
658,,,4.8,2.89,23,14.76,4.4,5.70,0.5,0.33,0.68,0.46,1.36,1.17,0.64,0.76,-0.30,-0.48
,C(=C2)C(N)=O,=CC(=C(O)C=C2)C(N)=O,,,,,,,,,,,,,,,,
,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC,,,,,,,,,,,,,,,,,
659,,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,0.58,0.50,17.2,10.31,12.3,6.60,0.85,0.74,0.24,-0.30,1.24,1.01,1.09,0.82,-0.07,-0.13
,=C1,,,,,,,,,,,,,,,,,
,C[C@@H]1O[C@H](C[C@@H]([C@@H]1O[,,,,,,,,,,,,,,,,,
,,C[C@@H]1O[C@H](C[C@@H]([C@@H]1O[S](C)(=,,,,,,,,,,,,,,,,
,S](C)(=O)=O)N2CC2)O[C@H]3C[C@@](O)(C,,,,,,,,,,,,,,,,,
660,,O)=O)[NH+]2CC2)O[C@H]3C[C@@](O)(CC4=C3C(,2.95,3.72,23.54,17.69,7.33,6.91,0.006,0.02,0.47,0.57,1.37,1.25,0.87,0.84,-2.22,-1.77
,C4=C3C(=C5C(=O)C6=CC=CC=C6C(=O)C5=,,,,,,,,,,,,,,,,,
,,=C5C(=O)C6=C(C=CC=C6)C(=O)C5=C4O)O)C(C)=O,,,,,,,,,,,,,,,,
,C4O)O)C(C)=O,,,,,,,,,,,,,,,,,
,NC(=N)C1=CC=C(C=C1)C(=O)N[C@@H](CC,,,,,,,,,,,,,,,,,
,,NC(=[NH2+])C1=CC=C(C=C1)C(=O)N[C@@H](CC2,,,,,,,,,,,,,,,,
661,2=CC=C(O)C=C2)C(=O)N3CCC(CC3)OCC(O),,0.29,0.36,1.9,2.32,2.1,2.73,0.94,0.58,0.54,-0.44,0.28,0.36,0.32,0.44,-0.03,-0.24
,,=CC=C(O)C=C2)C(=O)N3CCC(CC3)OCC([O-])=O,,,,,,,,,,,,,,,,
,=O,,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](C,,,,,,,,,,,,,,,,,
662,,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@@H](CO)O2,1.3,0.96,4.8,4.75,9.1,6.34,0.94,0.88,0.11,-0.02,0.68,0.68,0.96,0.80,-0.03,-0.06
,O)O2,,,,,,,,,,,,,,,,,
663,NC(CC1=CC=CC=N1)C2=CC=CC=C2,[NH3+][C@@H](CC1=NC=CC=C1)C2=CC=CC=C2,1.62,2.04,1.8,3.19,10.4,7.87,,,0.21,0.31,0.26,0.50,1.02,0.90,,
,COC(=O)C1=CN=C2[N]1CCC3=CC=CC=C3C,COC(=O)C1=CN=C2[N]1CCC3=C(C=CC=C3)[C]2=[,,,,,,,,,,,,,,,,
664,,,6.03,4.79,14.14,8.92,10.6,10.70,0.001,0.0029,0.78,0.68,1.15,0.95,1.03,1.03,-3.00,-2.53
,2=C4CCN(CC4)CCC5=CC=C(OCC6=CC=C7C,C]4CC[NH+](CC4)CCC5=CC=C(OCC6=NC7=CC=C,,,,,,,,,,,,,,,,
,=CC=CC7=N6)C=C5,C=C7C=C6)C=C5,,,,,,,,,,,,,,,,
,CC1=C(OCC(F)(F)F)C=CN=C1C[S](=O)C2=N,CC1=C(C[S](=O)C2=NC3=C([NH]2)C=CC=C3)N=CC,,,,,,,,,,,,,,,,
665,,,0.28,0.35,4.4,3.34,1,2.12,0.021,0.04,0.55,-0.45,0.64,0.52,0.00,0.33,-1.68,-1.45
,C3=CC=CC=C3[NH]2,=C1OCC(F)(F)F,,,,,,,,,,,,,,,,
,CNC(=O)N(N(CCCl)[S](C)(=O)=O)[S](C)(=O),,,,,,,,,,,,,,,,,
666,,CNC(=O)N(N(CCCl)[S](C)(=O)=O)[S](C)(=O)=O,0.88,0.73,23.1,10.84,0.49,0.84,,,0.06,-0.14,1.36,1.04,-0.31,-0.08,,
,=O,,,,,,,,,,,,,,,,,
,C[S](=O)(=O)C1=CC(=CC2=C1[N](CC3=CC=,C[S](=O)(=O)C1=C2[N](CC3=CC=C(Cl)C=C3)C4=C(,,,,,,,,,,,,,,,,
667,,,1,0.79,1.21,1.28,11.8,8.33,,,0.00,-0.10,0.08,0.11,1.07,0.92,,
,C(Cl)C=C3)C4=C2CC[C@@H]4CC(O)=O)F,CC[C@H]4CC([O-])=O)C2=CC(=C1)F,,,,,,,,,,,,,,,,
,CC(=O)OC1C(=O)[C@]23C[C@H]2C[C@H]4,CC(=O)O[C@H]1C(=O)[C@]23C[C@H]2C[C@H]4O,,,,,,,,,,,,,,,,
,OC[C@@]4(OC(C)=O)[C@H]3[C@H](OC(=O,C[C@@]4(OC(C)=O)[C@H]3[C@H](OC(=O)C5=CC,,,,,,,,,,,,,,,,
668,)C5=CC=CC=C5)[C@]6(O)C[C@H](OC(=O)[,=CC=C5)[C@]6(O)C[C@H](OC(=O)[C@H](O)[C@@,17,13.50,10.8,7.26,33.9,27.38,,,1.23,1.13,1.03,0.86,1.53,1.44,,
,C@H](O)[C@@H](NC(=O)OC(C)(C)C)C7=C,H](NC(=O)OC(C)(C)C)C7=CC=CC=C7)C(=C1C6(C),,,,,,,,,,,,,,,,
,C=CC=C7)C(=C1C6(C)C)C,C)C,,,,,,,,,,,,,,,,
,CC(C)OC(=O)CCCC=CC[C@H]1[C@@H](O),,,,,,,,,,,,,,,,,
,,CC(C)OC(=O)CCC\C=C\C[C@H]1[C@@H](O)C[C@,,,,,,,,,,,,,,,,
669,C[C@@H](O)[C@@H]1CC[C@@H](O)CCC2,,,,6.7,6.17,0.28,0.66,0.1,0.07,,,0.83,0.79,-0.55,-0.18,-1.00,-1.17
,,@H](O)[C@@H]1CC[C@@H](O)CCC2=CC=CC=C2,,,,,,,,,,,,,,,,
,=CC=CC=C2,,,,,,,,,,,,,,,,,
,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C,,,,,,,,,,,,,,,,,
,,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[,,,,,,,,,,,,,,,,
,@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](,,,,,,,,,,,,,,,,,
670,,C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C),1.32,1.05,3.96,5.62,6.4,4.91,0.17,0.15,0.12,0.02,0.60,0.75,0.81,0.69,-0.77,-0.82
,O)[C@@H]3C)OC(=O)CS[C@@H]4CC[C@@,,,,,,,,,,,,,,,,,
,,OC(=O)CS[C@H]4CC[C@@H]([NH3+])C[C@H]4O,,,,,,,,,,,,,,,,
,H](N)C[C@H]4O,,,,,,,,,,,,,,,,,
,CNCC[C@@H](O)[C@@H]1C[C@@H](CN1),C[NH2+]CC[C@@H](O)[C@@H]1C[C@@H](C[NH,,,,,,,,,,,,,,,,
671,SC2=C(N3[C@H]([C@H]2C)[C@@H]([C@@,2+]1)SC2=C(N3[C@H]([C@@H]2C)[C@@H]([C@@,0.22,0.37,2.02,2.41,1.48,1.76,,,0.66,-0.44,0.31,0.38,0.17,0.24,,
,H](C)O)C3=O)C(O)=O,H](C)O)C3=O)C([O-])=O,,,,,,,,,,,,,,,,
,,[O-,,,,,,,,,,,,,,,,
,OC(=O)CSC1=NN=C(Br)[N]1C2=CC=C(C3CC,,,,,,,,,,,,,,,,,
672,,]C(=O)CSC1=NN=C(Br)[N]1C2=C3C=CC=CC3=C(C,0.29,0.32,1.43,1.30,5,4.97,0.02,0.02,0.54,-0.49,0.16,0.11,0.70,0.70,-1.70,-1.78
,3)C4=CC=CC=C24,,,,,,,,,,,,,,,,,
,,=C2)C4CC4,,,,,,,,,,,,,,,,
,N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=C,N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=CC=C(C,,,,,,,,,,,,,,,,
673,,,1.9,1.51,0.57,0.92,45,22.32,0.41,0.20,0.28,0.18,-0.24,-0.04,1.65,1.35,-0.39,-0.69
,C=C(C=C3)C#N,=C3)C#N,,,,,,,,,,,,,,,,
674,CC[C@H](N1CCCC1=O)C(N)=O,CC[C@H](N1CCCC1=O)C(N)=O,0.6,0.76,0.9,1.40,8.23,5.56,0.9,0.86,0.22,-0.12,-0.05,0.15,0.92,0.75,-0.05,-0.07
,CCCCN1CCCC[C@H]1C(=O)NC2=C(C)C=C,CCCC[NH+]1CCCC[C@H]1C(=O)NC2=C(C)C=CC=,,,,,,,,,,,,,,,,
675,,,0.49,0.83,8.7,6.34,0.79,1.64,0.03,0.05,0.31,-0.08,0.94,0.80,-0.10,0.21,-1.52,-1.29
,C=C2C,C2C,,,,,,,,,,,,,,,,
,,C[C@@H]1C[NH+](CC[C@]1(C([O-,,,,,,,,,,,,,,,,
,C[C@@H]1CN(CC[C@]1(C(O)=O)C2=CC=C,,,,,,,,,,,,,,,,,
676,,])=O)C2=CC=CC=C2)C3CCC(CC3)(C#N)C4=CC=C(,1.17,1.31,0.43,0.83,33,18.01,0.453,0.20,0.07,0.12,-0.37,-0.08,1.52,1.26,-0.34,-0.70
,C=C2)C3CCC(CC3)(C#N)C4=CC=C(F)C=C4,,,,,,,,,,,,,,,,,
,,F)C=C4,,,,,,,,,,,,,,,,
677,,N[C@@H](CC1=CC=C(O)C(=C1)O)C(O)=O [NH3+][C@@H](CC1=CC(=C(O)C=C1)O)C([O-])=O,1.7,1.35,23,10.20,1.3,1.51,0.76,0.78,0.23,0.13,1.36,1.01,0.11,0.18,-0.12,-0.11
,C[C@H]1COC2=C(N3CCN(C)CC3)C(=CC4=,C[C@H]1COC2=C3N1C=C(C([O-,,,,,,,,,,,,,,,,
678,,,1.2,1.44,1.9,2.24,8.8,8.26,0.75,0.65,0.08,0.16,0.28,0.35,0.94,0.92,-0.12,-0.19
,C2N1C=C(C(O)=O)C4=O)F,])=O)C(=O)C3=CC(=C2N4CC[NH+](C)CC4)F,,,,,,,,,,,,,,,,
,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3),,,,,,,,,,,,,,,,
679,C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O),C(=O)N[C@@H](CCC([O-])=O)C([O-,0.27,0.34,4.1,3.79,1.1,1.63,,,0.57,-0.47,0.61,0.58,0.04,0.21,,
,N2C=O)N1,])=O)N2C=O)N1,,,,,,,,,,,,,,,,
,COC1=CC=C2SC3=CC=CC=C3N(C[C@H](C),COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)C[N,,,,,,,,,,,,,,,,
680,,,12,6.26,9.9,10.74,30,21.09,,,1.08,0.80,1.00,1.03,1.48,1.32,,
,CN(C)C)C2=C1,H+](C)C)C=C1,,,,,,,,,,,,,,,,
,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C,,,,,,,,,,,,,,,,
681,,,1.5,1.36,1.8,2.49,9.4,5.52,0.025,0.03,0.18,0.13,0.26,0.40,0.97,0.74,-1.60,-1.55
,)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,@H]34)[C@@H]1CC[C@@]2(O)C#C,,,,,,,,,,,,,,,,
,CNC[C@H](O)CC12CCC(C3=CC=CC=C13)C,C[NH2+]C[C@H](O)CC12CCC(C3=C1C=CC=C3)C4,,,,,,,,,,,,,,,,
682,,,18.8,14.93,14.6,12.88,18.8,16.54,,,1.27,1.17,1.16,1.11,1.27,1.22,,
,4=CC=CC=C24,=C2C=CC=C4,,,,,,,,,,,,,,,,
,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C,C[NH+]1CC[C@@]23CCCC[C@H]2[C@H]1CC4=C3,,,,,,,,,,,,,,,,
683,,,11.5,5.22,15.7,16.46,13.5,10.12,0.6,0.26,1.06,0.72,1.20,1.22,1.13,1.01,-0.22,-0.59
,3C=C(O)C=C4,C=C(O)C=C4,,,,,,,,,,,,,,,,
,C[C@@H]1CC(=O)NN=C1C2=CC=C(NN=C(,C[C@@H]1CC(=O)NN=C1C2=CC=C(NN=C(C#N)C#,,,,,,,,,,,,,,,,
684,,,0.24,0.40,3.8,4.32,1.1,2.29,0.02,0.03,0.62,-0.40,0.58,0.64,0.04,0.36,-1.70,-1.51
,C#N)C#N)C=C2,N)C=C2,,,,,,,,,,,,,,,,
,NCCCC[C@H](N[C@H]1CCC2=C(C=CC=C2),[NH3+]CCCC[C@H]([NH2+][C@H]1CCC2=C(C=CC,,,,,,,,,,,,,,,,
685,,,1.98,1.57,1.23,1.71,,,,,0.30,0.20,0.09,0.23,,,,
,N(CC(O)=O)C1=O)C(O)=O,=C2)N(CC([O-])=O)C1=O)C([O-])=O,,,,,,,,,,,,,,,,
,NC(=O)N1C2=C(CC(O)C3=C1C=CC=C3)C=C,NC(=O)N1C2=C(C[C@H](O)C3=C1C=CC=C3)C=CC,,,,,,,,,,,,,,,,
686,,,0.72,0.91,0.88,1.48,9.8,8.70,0.7,0.33,0.14,-0.04,-0.06,0.17,0.99,0.94,-0.15,-0.48
,C=C2,=C2,,,,,,,,,,,,,,,,
687,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C,1.8,1.58,16,10.89,1.6,2.03,0.33,0.28,0.26,0.20,1.20,1.04,0.20,0.31,-0.48,-0.55
688,,CC#CC[N]1C(=NC2=C1C(=O)N(CC3=NC4=C CC#CC[N]1C(=NC2=C1C(=O)N(CC3=NC4=CC=CC=,16,12.72,1.9,2.85,129,38.43,,,1.20,1.10,0.28,0.45,2.11,1.58,,
,(C=CC=C4)C(=N3)C)C(=O)N2C)N5CCC[C@,C4C(=N3)C)C(=O)N2C)N5CCC[C@@H]([NH3+])C5,,,,,,,,,,,,,,,,
,@H](N)C5,,,,,,,,,,,,,,,,,
,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@,CCC[C@@H]1C[C@H]([NH+](C)C1)C(=O)N[C@H](,,,,,,,,,,,,,,,,
689,H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H,[C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@,1,0.68,2.1,2.69,5.6,4.08,,,0.00,-0.17,0.32,0.43,0.75,0.61,,
,](O)[C@@H](O)[C@H]2O,H](O)[C@@H]2O,,,,,,,,,,,,,,,,
,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC=C(N,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N,,,,,,,,,,,,,,,,
690,,,0.58,0.68,1.8,2.99,4.5,3.53,0.69,0.55,0.24,-0.16,0.26,0.48,0.65,0.55,-0.16,-0.26
,3CCOCC3)C(=C2)F,3CCOCC3)F,,,,,,,,,,,,,,,,
691,OC(=O)CCCC[C@@H]1CCSS1,[O-]C(=O)CCCC[C@@H]1CCSS1,0.1,0.14,11.5,7.96,0.21,0.31,,,1.00,-0.86,1.06,0.90,-0.68,-0.50,,
692,OC(=O)CCCC[C@H]1CCSS1,[O-]C(=O)CCCC[C@H]1CCSS1,0.11,0.14,13.4,8.43,0.21,0.31,,,0.96,-0.86,1.13,0.93,-0.68,-0.51,,
,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H]([NH3,,,,,,,,,,,,,,,,
693,,,0.6,0.76,17,13.06,1.2,1.89,,,0.22,-0.12,1.23,1.12,0.08,0.28,,
,](N)CCCCN,+])CCCC[NH3+],,,,,,,,,,,,,,,,
,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C,[NH3+]CCCC[C@H]([NH2+][C@@H](CCC1=CC=C,,,,,,,,,,,,,,,,
694,,,0.89,0.81,1.2,1.64,42,15.35,1,0.68,0.05,-0.09,0.08,0.22,1.62,1.19,0.00,-0.17
,1)C(O)=O)C(=O)N2CCC[C@H]2C(O)=O,C=C1)C([O-])=O)C(=O)N2CCC[C@H]2C([O-])=O,,,,,,,,,,,,,,,,
,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2C,CCN(CC)C(=O)N[C@@H]1C[NH+](C)[C@@H]2CC,,,,,,,,,,,,,,,,
695,,,1.73,2.16,13.3,10.05,1.8,2.49,,,0.24,0.34,1.12,1.00,0.26,0.40,,
,C3=C[NH]C4=CC=CC(=C34)C2=C1,3=C[NH]C4=C3C(=CC=C4)C2=C1,,,,,,,,,,,,,,,,
,,CCN1C=C(C([O-,,,,,,,,,,,,,,,,
,CCN1C=C(C(O)=O)C(=O)C2=CC(=C(N3CCN[,,,,,,,,,,,,,,,,,
696,,])=O)C(=O)C2=C1C(=C(N3CC[NH2+][C@@H](C)C3,2.04,1.62,3.98,3.17,8.1,7.80,,,0.31,0.21,0.60,0.50,0.91,0.89,,
,C@@H](C)C3)C(=C12)F)F,,,,,,,,,,,,,,,,,
,,)C(=C2)F)F,,,,,,,,,,,,,,,,
,NC1=NC(=C2[NH]C=NC2=N1)OCC3=CC(=C,,,,,,,,,,,,,,,,,
697,,NC1=NC2=C([NH]C=N2)C(=N1)OCC3=CC(=CS3)Br,,,21.55,9.85,2.92,4.08,,,,,1.33,0.99,0.47,0.61,,
,S3)Br,,,,,,,,,,,,,,,,,
,FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(,FC(F)(F)CNC(=O)C1(CCCC[NH+]2CCC(CC2)NC(=O,,,,,,,,,,,,,,,,
698,=O)C3=C(C=CC=C3)C4=CC=C(C=C4)C(F)(F),)C3=C(C=CC=C3)C4=CC=C(C=C4)C(F)(F)F)C5=C(C,16.3,11.24,8.7,5.35,39.7,33.22,0.002,0.0038,1.21,1.05,0.94,0.73,1.60,1.52,-2.70,-2.42
,F)C5=C(C=CC=C5)C6=C1C=CC=C6,=CC=C5)C6=C1C=CC=C6,,,,,,,,,,,,,,,,
,OC1N=C(C2=CC=CC=C2Cl)C3=CC(=CC=C3,O[C@@H]1N=C(C2=C(Cl)C=CC=C2)C3=C(NC1=O),,,,,,,,,,,,,,,,
699,,,1.3,1.31,1,1.38,17,14.58,0.09,0.03,0.11,0.12,0.00,0.14,1.23,1.16,-1.05,-1.48
,NC1=O)Cl,C=CC(=C3)Cl,,,,,,,,,,,,,,,,
,CC(C)N1CCC(CC1)N(C(=O)CC2=CC=CC=C2,CC(C)[NH+]1CCC(CC1)N(C(=O)CC2=CC=CC=C2)C,,,,,,,,,,,,,,,,
700,,,6.6,5.24,16,10.50,6.5,9.63,0.15,0.10,0.82,0.72,1.20,1.02,0.81,0.98,-0.82,-1.01
,)C3=CC=C(Cl)C=C3,3=CC=C(Cl)C=C3,,,,,,,,,,,,,,,,
,CN1C(=O)C(O)N=C(C2=CC=CC=C2Cl)C3=C,CN1C(=O)[C@H](O)N=C(C2=C(Cl)C=CC=C2)C3=C,,,,,,,,,,,,,,,,
701,,,1.6,1.18,4,2.87,4.9,6.54,0.12,0.07,0.20,0.07,0.60,0.46,0.69,0.82,-0.92,-1.14
,C(=CC=C13)Cl,1C=CC(=C3)Cl,,,,,,,,,,,,,,,,
,CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2),CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2)C3=C(,,,,,,,,,,,,,,,,
702,,,0.37,0.47,8.2,4.70,1.8,3.04,0.01,0.01,0.43,-0.33,0.91,0.67,0.26,0.48,-2.00,-1.92
,C3=CC=CC=C3C4=NN=N[NH]4)Cl,C=CC=C3)C4=NN=N[N-]4)Cl,,,,,,,,,,,,,,,,
,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=CC=,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=NC=C(C=C,,,,,,,,,,,,,,,,
703,,,1.67,2.10,3.77,3.34,6.95,7.91,,,0.22,0.32,0.58,0.52,0.84,0.90,,
,C(C=N3)C(=O)NCC(C)(C)C,3)C(=O)NCC(C)(C)C,,,,,,,,,,,,,,,,
,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=,,,,,,,,,,,,,,,,
704,C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C,C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(,0.87,0.48,7.2,6.44,1.4,1.71,0.043,0.05,0.06,-0.32,0.86,0.81,0.15,0.23,-1.37,-1.26
,@@H](O)CC(O)=O)[C@@H]12,[O-])=O)[C@@H]12,,,,,,,,,,,,,,,,
,CCCCCN(CCCOC)C(=O)C(CCC(O)=O)NC(=,CCCCCN(CCCOC)C(=O)[C@@H](CCC([O-,,,,,,,,,,,,,,,,
705,,,0.24,0.30,1,1.74,5.2,2.95,,,0.62,-0.52,0.00,0.24,0.72,0.47,,
,O)C1=CC=C(Cl)C(=C1)Cl,])=O)NC(=O)C1=CC(=C(Cl)C=C1)Cl,,,,,,,,,,,,,,,,
,CN(C1CCN(CC1)C[C@H](O)COC2=CC=C(F),CN(C1CC[NH+](CC1)C[C@H](O)COC2=CC(=C(F)C,,,,,,,,,,,,,,,,
706,,,2.6,4.35,1.7,2.50,21.6,17.43,0.003,0.01,0.41,0.64,0.23,0.40,1.33,1.24,-2.52,-2.15
,C(=C2)F)C3=NC4=CC=CC=C4S3,=C2)F)C3=NC4=C(S3)C=CC=C4,,,,,,,,,,,,,,,,
,COC1=CC=C2[NH]C3=C(CCN[C@]34CS[C@,COC1=CC2=C([NH]C3=C2CC[NH2+][C@]34CS[C@,,,,,,,,,,,,,,,,
,H]5[C@H]6[C@@H]7N(C)[C@@H](CC8=C7,H]5[C@H]6[C@H]7[NH+](C)[C@@H](CC8=C7C(=C,,,,,,,,,,,,,,,,
707,C(=C(OC)C(=C8)C)O)[C@H](O)N6[C@@H](,(OC)C(=C8)C)O)[C@H](O)[NH+]6[C@@H](COC4=,7.3,5.80,2.76,3.67,50.68,32.03,,,0.86,0.76,0.44,0.56,1.70,1.51,,
,COC4=O)C9=C5C(=C(C)C%10=C9OCO%10),O)C9=C5C(=C(C)C%10=C9OCO%10)OC(C)=O)C=C,,,,,,,,,,,,,,,,
,OC(C)=O)C2=C1,1,,,,,,,,,,,,,,,,
,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C,,,,,,,,,,,,,,,,
708,C3N=C5C=C6OCCOC6=CC5=C4CN7CCN(C),5C=C6OCCOC6=CC5=C4C[NH+]7CC[NH+](C)CC7),4.77,3.79,25.07,13.86,3.54,4.51,,,0.68,0.58,1.40,1.14,0.55,0.65,,
,CC7)C2=O,C2=O,,,,,,,,,,,,,,,,
,FC1=C[C@H]2CN(CCN3C=C(C(=C1)[C@H]2,FC1=C[C@H]2CN(CCN3C=C(C(=C1)[C@H]23)C4=,,,,,,,,,,,,,,,,
709,3)C4=C(C(=O)NC4=O)C5=C[N]6C=CC=CC6=,C(C(=O)NC4=O)C5=C[N]6C=CC=CC6=N5)C(=O)N7,1.2,1.19,10.3,5.20,2.7,4.15,0.02,0.03,0.08,0.07,1.01,0.72,0.43,0.62,-1.70,-1.53
,N5)C(=O)N7CCCCC7,CCCCC7,,,,,,,,,,,,,,,,
,CSCC[C@H](N)C(=O)N[C@]1(C[S](=O)(=O)[,CSCC[C@H]([NH3+])C(=O)N[C@@]1(C[S](=O)(=O),,,,,,,,,,,,,,,,
710,,,0.44,0.42,9.73,5.85,0.84,1.02,,,0.36,-0.38,0.99,0.77,-0.08,0.01,,
,C@H]2[C@@H]([C@@H]12)C(O)=O)C(O)=O,[C@H]2[C@@H]([C@@H]12)C([O-])=O)C([O-])=O,,,,,,,,,,,,,,,,
,N[C@]1(C[S](=O)(=O)[C@H]2[C@@H]([C@,[NH3+][C@]1(C[S](=O)(=O)[C@H]2[C@@H]([C@@,,,,,,,,,,,,,,,,
711,,,0.21,0.26,2.4,3.01,1.23,1.96,,,0.68,-0.58,0.38,0.48,0.09,0.29,,
,@H]12)C(O)=O)C(O)=O,H]12)C([O-])=O)C([O-])=O,,,,,,,,,,,,,,,,
,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](,,,,,,,,,,,,,,,,,
712,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.24,0.43,1.2,1.99,4.7,3.31,,,0.62,-0.37,0.08,0.30,0.67,0.52,,
,O)CO,,,,,,,,,,,,,,,,,
,CNCCCC12CCC(C3=CC=CC=C13)C4=CC=C,C[NH2+]CCCC12CCC(C3=C1C=CC=C3)C4=C2C=C,,,,,,,,,,,,,,,,
713,,,45,28.85,14,11.21,51,33.88,0.11,0.07,1.65,1.46,1.15,1.05,1.71,1.53,-0.96,-1.14
,C=C24,C=C4,,,,,,,,,,,,,,,,
,CC(C)C1=NN=C(C)[N]1C2C[C@@H]3CC[C,CC(C)C1=NN=C(C)[N]1C2C[C@H]3CC[C@H](C2)[,,,,,,,,,,,,,,,,
714,@H](C2)N3CC[C@@H](NC(=O)C4CCC(F)(F),NH+]3CC[C@@H](NC(=O)C4CCC(F)(F)CC4)C5=CC,2.3,1.83,9.4,7.36,12.8,10.61,0.25,0.15,0.36,0.26,0.97,0.87,1.11,1.03,-0.60,-0.83
,CC4)C5=CC=CC=C5,=CC=C5,,,,,,,,,,,,,,,,
,COC1=CC=C(Cl)C=C1[C@]2(F)C(=O)NC3=C,COC1=C(C=C(Cl)C=C1)[C@@]2(F)C(=O)NC3=C2C,,,,,,,,,,,,,,,,
715,,,10,7.94,15,7.68,37,24.94,0.0038,0.01,1.00,0.90,1.18,0.89,1.57,1.40,-2.42,-2.06
,C(=CC=C23)C(F)(F)F,=CC(=C3)C(F)(F)F,,,,,,,,,,,,,,,,
,CC(C)OC1=CC=CC=C1N2CCN(CC2)CC3=CC,CC(C)OC1=C(C=CC=C1)N2CC[NH+](CC2)CC3=CC(,,,,,,,,,,,,,,,,
